DEPTH,GR,LLD,RHOB,PhiNSS
M,API,ohm.m,g/cm3,porosity units
3032.6076,59.0227,1.1648,2.2136,0.2735
3032.76,59.9778,1.1329,2.2281,0.2847
3032.9124,59.347,1.1184,2.2401,0.2774
3033.0648,57.8363,1.1051,2.2514,0.2762
3033.2172,56.7755,1.0893,2.2463,0.2607
3033.3696,55.8662,1.0875,2.2413,0.2569
3033.522,57.4342,1.0978,2.2369,0.2529
3033.6744,54.2981,1.0595,2.2311,0.2624
3033.8268,56.3975,0.9931,2.217,0.2675
3033.9792,57.0562,0.9687,2.209,0.2732
3034.1316,57.2141,1.0086,2.2123,0.2774
3034.284,57.3043,1.0722,2.2257,0.2732
3034.4364,59.6702,1.1903,2.2504,0.2667
3034.5888,60.8675,1.3489,2.2568,0.2471
3034.7412,58.2419,1.3528,2.2593,0.2447
3034.8936,54.6431,1.306,2.2611,0.2351
3035.046,52.105,1.2937,2.2686,0.2415
3035.1984,52.3831,1.3007,2.2695,0.2411
3035.3508,52.0301,1.2886,2.2624,0.2422
3035.5032,56.0487,1.3131,2.2547,0.2447
3035.6556,58.851,1.2633,2.2474,0.2418
3035.808,61.685,1.1452,2.2456,0.2431
3035.9604,59.2854,1.06,2.243,0.2486
3036.1128,60.9948,1.0471,2.2451,0.255
3036.2652,63.6184,1.0674,2.249,0.2501
3036.4176,68.1631,1.1197,2.2485,0.2548
3036.57,64.5517,1.2425,2.242,0.2711
3036.7224,61.0762,1.2946,2.223,0.2999
3036.8748,55.0585,1.1904,2.2034,0.3101
3037.0272,55.5079,1.187,2.1968,0.319
3037.1796,57.5485,1.2723,2.2179,0.3191
3037.332,60.3721,1.4121,2.2618,0.2967
3037.4844,62.3673,1.5708,2.3084,0.2722
3037.6368,62.6663,1.683,2.3192,0.2453
3037.7892,63.9599,1.705,2.3033,0.233
3037.9416,64.1981,1.6512,2.2933,0.2284
3038.094,63.1098,1.6067,2.2989,0.2399
3038.2464,61.7175,1.5864,2.2936,0.2538
3038.3988,57.4574,1.5295,2.277,0.2677
3038.5512,56.021,1.5844,2.2718,0.2577
3038.7036,57.3913,1.683,2.3001,0.2421
3038.856,62.9913,1.8064,2.335,0.2206
3039.0084,65.584,2.0589,2.3582,0.2176
3039.1608,69.7284,2.1423,2.3543,0.2186
3039.3132,69.1014,1.9352,2.3605,0.2219
3039.4656,66.9503,1.981,2.3454,0.2324
3039.618,65.871,1.9045,2.3416,0.2404
3039.7704,68.7287,1.7158,2.3247,0.2422
3039.9228,72.3903,1.7723,2.3378,0.2305
3040.0752,71.3864,1.7362,2.3473,0.2285
3040.2276,70.8427,1.5913,2.3519,0.2298
3040.38,65.1173,1.5739,2.3243,0.2446
3040.5324,61.0185,1.4352,2.2847,0.2491
3040.6848,54.1491,1.3608,2.2519,0.259
3040.8372,51.3944,1.3163,2.2367,0.2523
3040.9896,53.6657,1.3206,2.2414,0.2663
3041.142,55.0574,1.3651,2.2605,0.2606
3041.2944,60.1232,1.4859,2.2862,0.2489
3041.4468,56.8671,1.6226,2.3165,0.2429
3041.5992,58.6544,1.6879,2.3349,0.2515
3041.7516,56.9471,1.7069,2.3475,0.2445
3041.904,61.0585,1.7843,2.3369,0.2347
3042.0564,61.0951,1.808,2.3316,0.226
3042.2088,62.1385,1.8259,2.3346,0.2195
3042.3612,60.5874,1.7788,2.3204,0.2184
3042.5136,62.6361,1.8009,2.304,0.2204
3042.666,68.1854,1.8163,2.3164,0.2343
3042.8184,80.0813,1.7377,2.3495,0.2402
3042.9708,83.5031,1.6724,2.3605,0.2572
3043.1232,76.1869,1.4924,2.3286,0.2701
3043.2756,64.5506,1.2451,2.2874,0.2675
3043.428,58.0494,1.2038,2.2663,0.2649
3043.5804,58.7917,1.2413,2.273,0.2572
3043.7328,62.1664,1.2736,2.2792,0.2594
3043.8852,63.1081,1.3723,2.2741,0.2554
3044.0376,65.8221,1.564,2.2738,0.2521
3044.19,64.2862,1.6464,2.2975,0.2606
3044.3424,62.1141,1.7305,2.3443,0.2436
3044.4948,60.7686,1.8733,2.3398,0.2212
3044.6472,58.5762,1.7832,2.3274,0.2107
3044.7996,59.5985,1.6873,2.3072,0.2107
3044.952,60.6887,2.1184,2.343,0.2108
3045.1044,56.6463,3.1067,2.4553,0.2048
3045.2568,53.2606,3.8796,2.6526,0.1842
3045.4092,51.7087,4.2321,2.7943,0.163
3045.5616,52.8777,3.1318,2.6235,0.1687
3045.714,55.8167,2.1223,2.4508,0.1919
3045.8664,54.7443,1.7419,2.3576,0.2123
3046.0188,55.6714,1.5941,2.3428,0.2091
3046.1712,58.6748,1.5009,2.3387,0.2043
3046.3236,58.496,1.4378,2.302,0.2134
3046.476,60.2966,1.3694,2.2713,0.2115
3046.6284,59.359,1.3196,2.2687,0.2177
3046.7808,60.534,1.3639,2.2733,0.2193
3046.9332,59.6059,1.4204,2.2827,0.2298
3047.0856,59.35,1.4397,2.2819,0.2249
3047.238,58.314,1.4076,2.2936,0.2137
3047.3904,57.3294,1.3989,2.3026,0.2025
3047.5428,55.9171,1.3993,2.3026,0.1981
3047.6952,55.5001,1.4142,2.294,0.2032
3047.8476,58.7992,1.4432,2.2714,0.2122
3048,61.0696,1.4531,2.2648,0.2191
3048.1524,62.8213,1.4601,2.2605,0.2225
3048.3048,56.7471,1.4412,2.2719,0.2111
3048.4572,54.0793,1.3562,2.26,0.2201
3048.6096,52.7644,1.2598,2.2627,0.2243
3048.762,58.988,1.2598,2.2617,0.2318
3048.9144,55.9241,1.3184,2.2813,0.2241
3049.0668,58.0338,1.3727,2.288,0.2321
3049.2192,56.4584,1.4911,2.3023,0.2397
3049.3716,59.3438,1.4807,2.3023,0.2327
3049.524,62.7494,1.4243,2.2934,0.2303
3049.6764,66.1199,1.5245,2.2869,0.2392
3049.8288,67.113,1.6641,2.2868,0.2509
3049.9812,65.3553,1.7972,2.3218,0.231
3050.1336,64.1886,1.8917,2.377,0.2161
3050.286,63.3746,1.8633,2.3964,0.2157
3050.4384,59.3191,1.7198,2.3692,0.2261
3050.5908,58.8297,1.5918,2.3246,0.2351
3050.7432,60.2551,1.5441,2.3025,0.2428
3050.8956,61.4855,1.5051,2.2883,0.2543
3051.048,59.5313,1.4269,2.2778,0.2578
3051.2004,58.4822,1.3822,2.2731,0.2617
3051.3528,59.4325,1.3226,2.2663,0.2528
3051.5052,61.2705,1.3334,2.2782,0.2548
3051.6576,61.1719,1.4451,2.2905,0.2418
3051.81,61.7492,1.4817,2.3027,0.2437
3051.9624,62.6996,1.508,2.3142,0.2279
3052.1148,63.1795,1.531,2.3184,0.2254
3052.2672,63.202,1.4717,2.3029,0.2205
3052.4196,62.3601,1.4041,2.2957,0.2334
3052.572,62.9725,1.4848,2.3011,0.2393
3052.7244,65.0578,1.6394,2.3233,0.2488
3052.8768,71.1018,1.9275,2.3379,0.243
3053.0292,73.5799,2.4147,2.3535,0.2233
3053.1816,74.3005,2.7313,2.4001,0.1966
3053.334,68.6676,3.2592,2.4892,0.1907
3053.4864,72.8625,4.4969,2.5905,0.2022
3053.6388,69.3833,6.0813,2.656,0.205
3053.7912,72.4555,7.7311,2.714,0.1959
3053.9436,66.7875,8.7019,2.7397,0.1805
3054.096,66.9048,5.4074,2.6804,0.1821
3054.2484,63.313,3.1437,2.5659,0.2064
3054.4008,62.3835,2,2.4533,0.2408
3054.5532,60.3376,1.4998,2.3613,0.2689
3054.7056,60.9651,1.3803,2.3041,0.2685
3054.858,59.5195,1.3955,2.2787,0.2638
3055.0104,65.9294,1.525,2.2834,0.2468
3055.1628,66.6693,1.792,2.29,0.2323
3055.3152,69.9856,1.8797,2.2825,0.2205
3055.4676,71.934,1.7339,2.2625,0.2305
3055.62,72.7682,1.5781,2.2599,0.2389
3055.7724,72.3032,1.4851,2.2593,0.2568
3055.9248,69.239,1.5671,2.2661,0.252
3056.0772,67.7569,1.663,2.2638,0.2606
3056.2296,68.9693,1.7185,2.2614,0.2517
3056.382,65.443,1.7637,2.2538,0.2435
3056.5344,65.4194,1.6882,2.2538,0.241
3056.6868,60.5953,1.6152,2.2676,0.2341
3056.8392,60.1782,1.5673,2.2837,0.2345
3056.9916,56.7189,1.5297,2.2884,0.2163
3057.144,57.4787,1.5033,2.2734,0.2186
3057.2964,56.5257,1.4315,2.2621,0.2217
3057.4488,56.5428,1.4168,2.2682,0.2314
3057.6012,58.3747,1.4269,2.2772,0.2359
3057.7536,58.4936,1.4114,2.2909,0.2273
3057.906,62.7758,1.411,2.2968,0.2269
3058.0584,59.6731,1.4095,2.2934,0.2213
3058.2108,58.3205,1.3934,2.2924,0.2419
3058.3632,55.2062,1.3613,2.2966,0.2487
3058.5156,58.0303,1.3415,2.3033,0.2609
3058.668,61.3793,1.404,2.3121,0.2602
3058.8204,60.6698,1.4772,2.313,0.266
3058.9728,58.7991,1.5177,2.3126,0.275
3059.1252,57.0913,1.5603,2.287,0.2783
3059.2776,57.2917,1.4831,2.2671,0.2616
3059.43,58.5561,1.4087,2.246,0.2528
3059.5824,61.9061,1.3691,2.2319,0.2369
3059.7348,64.272,1.3416,2.2324,0.2309
3059.8872,72.898,1.3482,2.2339,0.2342
3060.0396,82.1349,1.3591,2.2441,0.2529
3060.192,97.9603,1.4084,2.2468,0.2509
3060.3444,116.7415,1.5478,2.2778,0.2284
3060.4968,136.2579,1.6777,2.3134,0.2324
3060.6492,158.0844,1.7325,2.3419,0.245
3060.8016,169.9756,2.1685,2.3665,0.2484
3060.954,169.6975,2.7724,2.4025,0.2385
3061.1064,151.7708,3.1087,2.4416,0.2289
3061.2588,120.7112,3.3049,2.4217,0.2326
3061.4112,92.5421,2.9911,2.3657,0.2293
3061.5636,73.5129,2.3141,2.3251,0.2417
3061.716,65.815,1.8033,2.294,0.2488
3061.8684,63.7367,1.6764,2.2725,0.2454
3062.0208,65.3811,1.5399,2.2603,0.2321
3062.1732,75.5514,1.5435,2.2549,0.2313
3062.3256,89.4153,1.5964,2.2798,0.235
3062.478,104.0126,1.7529,2.3042,0.242
3062.6304,122.9723,2.2465,2.3569,0.238
3062.7828,128.5521,3.0641,2.4138,0.2399
3062.9352,120.1039,3.8575,2.4804,0.2439
3063.0876,101.2832,4.4339,2.5256,0.2624
3063.24,89.2153,3.5684,2.5732,0.2264
3063.3924,82.9017,3.7958,2.6492,0.2096
3063.5448,68.6742,4.1245,2.7894,0.2064
3063.6972,67.4951,3.5862,2.8835,0.2226
3063.8496,66.9148,3.3841,2.7828,0.2149
3064.002,69.883,2.7107,2.547,0.2247
3064.1544,63.3489,2.5581,2.4396,0.222
3064.3068,63.0949,2.6478,2.4532,0.2083
3064.4592,67.5677,2.4766,2.5324,0.2082
3064.6116,66.5672,2.3107,2.4712,0.22
3064.764,68.2348,1.8299,2.3466,0.2285
3064.9164,66.124,1.4277,2.2622,0.2455
3065.0688,72.9683,1.2885,2.2607,0.2582
3065.2212,105.7426,1.2156,2.2536,0.2757
3065.3736,153.0754,1.3707,2.2785,0.2831
3065.526,197.0475,1.7253,2.3449,0.3382
3065.6784,206.9793,2.2857,2.4176,0.3969
3065.8308,197.2582,3.8357,2.4762,0.4722
3065.9832,183.5903,5.6354,2.4742,0.4427
3066.1356,172.3295,5.6247,2.4679,0.3703
3066.288,171.5446,5.3293,2.4623,0.334
3066.4404,178.6645,4.6526,2.4902,0.3175
3066.5928,188.4634,4.1566,2.5536,0.3048
3066.7452,195.081,3.6456,2.6032,0.2928
3066.8976,198.3918,3.4382,2.5803,0.321
3067.05,186.5077,3.7034,2.5481,0.3511
3067.2024,171.5051,3.6749,2.5322,0.333
3067.3548,156.9283,3.4702,2.5298,0.3035
3067.5072,155.6098,3.671,2.5086,0.2954
3067.6596,152.4199,3.6394,2.4878,0.2912
3067.812,150.2702,3.8445,2.4764,0.2937
3067.9644,142.0911,4.1246,2.5076,0.3024
3068.1168,145.8006,4.3844,2.5226,0.329
3068.2692,152.8057,4.6077,2.5424,0.3435
3068.4216,159.7716,4.6536,2.5283,0.3298
3068.574,164.5224,4.6694,2.5217,0.3224
3068.7264,167.3503,4.7605,2.5134,0.3285
3068.8788,177.6598,4.5905,2.5165,0.3364
3069.0312,181.3521,4.4817,2.5065,0.3389
3069.1836,175.2523,4.4292,2.5225,0.3386
3069.336,170.5635,4.3163,2.5771,0.3459
3069.4884,163.0199,4.2685,2.6378,0.3408
3069.6408,154.6199,4.544,2.6246,0.3228
3069.7932,148.4418,4.744,2.5667,0.3158
3069.9456,155.2196,4.7289,2.5308,0.3181
3070.098,171.5948,4.3967,2.5266,0.3123
3070.2504,177.5136,3.5718,2.5239,0.3113
3070.4028,179.7915,3.3353,2.5195,0.3375
3070.5552,178.8346,3.2425,2.5365,0.3716
3070.7076,173.6414,3.2717,2.5705,0.3753
3070.86,165.6346,3.4571,2.6181,0.3746
3071.0124,157.6442,3.8517,2.5761,0.3513
3071.1648,157.3653,4.2468,2.5088,0.3313
3071.3172,151.5795,4.3484,2.4647,0.3084
3071.4696,141.9478,3.6828,2.4505,0.3261
3071.622,138.9776,3.1126,2.4356,0.3168
3071.7744,136.2764,2.9942,2.453,0.3191
3071.9268,125.9456,2.9697,2.475,0.3165
3072.0792,110.1487,3.3264,2.5278,0.3338
3072.2316,104.4086,3.5714,2.5392,0.3577
3072.384,107.2565,3.6651,2.5331,0.3441
3072.5364,119.5815,3.8575,2.4905,0.3336
3072.6888,129.6267,3.8661,2.4591,0.3064
3072.8412,141.4351,4.1115,2.4465,0.3067
3072.9936,142.4561,3.8411,2.4365,0.3122
3073.146,137.113,3.4763,2.4212,0.3121
3073.2984,128.6392,3.3832,2.4375,0.3063
3073.4508,118.6918,3.2081,2.5314,0.2977
3073.6032,111.4251,3.3177,2.6797,0.3209
3073.7556,106.7718,4.0383,2.716,0.3452
3073.908,114.9962,4.4167,2.6056,0.3345
3074.0604,127.6577,4.6111,2.5033,0.3239
3074.2128,133.9555,4.4552,2.4792,0.2915
3074.3652,133.6385,3.9037,2.4861,0.2804
3074.5176,133.3045,3.4714,2.494,0.2736
3074.67,154.255,3.3842,2.4975,0.2921
3074.8224,168.3126,3.7368,2.5034,0.2979
3074.9748,182.2652,3.9077,2.527,0.3084
3075.1272,178.1718,3.9471,2.5258,0.2989
3075.2796,183.8099,4.042,2.5343,0.31
3075.432,174.217,3.8128,2.5215,0.2935
3075.5844,175.1755,3.7269,2.5358,0.3115
3075.7368,161.8294,3.7951,2.5249,0.3012
3075.8892,158.6868,3.8525,2.5269,0.3148
3076.0416,147.7804,3.9305,2.5132,0.2864
3076.194,147.5928,4.1071,2.5199,0.2803
3076.3464,147.1265,4.0851,2.5341,0.2796
3076.4988,157.8752,3.8935,2.5489,0.3154
3076.6512,168.3503,3.7267,2.5644,0.3241
3076.8036,178.3113,3.4843,2.5479,0.3143
3076.956,180.6307,3.2377,2.5363,0.3425
3077.1084,176.0007,3.0378,2.5097,0.3664
3077.2608,173.7381,2.8088,2.5054,0.3804
3077.4132,175.902,2.6514,2.509,0.3605
3077.5656,179.7617,2.6236,2.5305,0.3416
3077.718,187.9868,2.6674,2.5395,0.3093
3077.8704,194.6459,2.7847,2.5338,0.3007
3078.0228,198.6461,3.025,2.529,0.2987
3078.1752,199.7354,3.2605,2.5352,0.2909
3078.3276,197.5855,3.1686,2.5154,0.3119
3078.48,201.7238,2.9585,2.5038,0.3393
3078.6324,200.6344,2.794,2.4923,0.3699
3078.7848,208.9757,2.6435,2.5151,0.3888
3078.9372,216.285,2.7427,2.5291,0.3834
3079.0896,225.3775,3.3364,2.5321,0.3917
3079.242,207.5827,2.9402,2.5051,0.3653
3079.3944,177.6636,2.6307,2.4457,0.3186
3079.5468,153.8655,2.8582,2.4159,0.2845
3079.6992,146.252,2.9923,2.4266,0.2764
3079.8516,141.0574,3.0028,2.4711,0.2811
3080.004,128.0589,3.1123,2.4994,0.2723
3080.1564,114.8192,3.7054,2.471,0.2695
3080.3088,102.6151,4.1902,2.5053,0.233
3080.4612,94.6995,5.2502,2.5493,0.1886
3080.6136,84.5509,12.4889,2.6534,0.1539
3080.766,91.6137,39.5567,2.6802,0.1511
3080.9184,102.7427,59.6294,2.6912,0.1539
3081.0708,115.2413,57.8072,2.684,0.1463
3081.2232,121.1213,26.7495,2.6669,0.1405
3081.3756,115.8011,16.1136,2.6464,0.1475
3081.528,111.7827,9.1119,2.6373,0.1763
3081.6804,107.0706,5.4271,2.6195,0.2288
3081.8328,111.7381,3.4315,2.595,0.3036
3081.9852,112.3717,2.5903,2.5533,0.3421
3082.1376,112.7246,2.2792,2.4655,0.3246
3082.29,112.6822,2.0421,2.3897,0.3067
3082.4424,119.5311,1.7718,2.391,0.3084
3082.5948,131.91,1.9542,2.4636,0.3185
3082.7472,151.1919,2.2223,2.5293,0.3139
3082.8996,185.8331,2.7244,2.5379,0.3007
3083.052,205.5082,3.5782,2.5404,0.3086
3083.2044,223.2857,3.5799,2.5237,0.3531
3083.3568,221.2004,3.188,2.5054,0.4105
3083.5092,225.5889,3.0887,2.4932,0.4071
3083.6616,221.7557,2.8444,2.497,0.4014
3083.814,219.8239,2.8922,2.5087,0.3964
3083.9664,206.1869,3.0687,2.5289,0.3782
3084.1188,191.7286,3.131,2.5467,0.3475
3084.2712,183.8131,3.3817,2.5534,0.3268
3084.4236,178.3912,3.4655,2.5466,0.3339
3084.576,175.2718,3.4797,2.5337,0.3177
3084.7284,152.449,3.7926,2.5095,0.3257
3084.8808,139.659,4.1202,2.4795,0.3208
3085.0332,125.2617,4.2579,2.4585,0.2841
3085.1856,124.2081,4.5337,2.4539,0.2481
3085.338,131.0201,4.5573,2.4629,0.2281
3085.4904,134.4039,4.5573,2.4797,0.2362
3085.6428,146.7314,4.66,2.4927,0.2423
3085.7952,155.2906,4.8844,2.5171,0.26
3085.9476,176.8149,4.8788,2.5246,0.2815
3086.1,186.1874,4.8948,2.5318,0.2886
3086.2524,199.2792,4.8797,2.5397,0.2983
3086.4048,205.0186,4.7176,2.5528,0.3225
3086.5572,215.096,4.3236,2.5473,0.3833
3086.7096,207.5709,3.963,2.5329,0.4175
3086.862,200.9742,3.5255,2.5228,0.3825
3087.0144,185.6185,3.1514,2.527,0.3663
3087.1668,185.3216,2.8957,2.5296,0.374
3087.3192,177.3974,3.022,2.5254,0.3582
3087.4716,173.7676,3.0675,2.5376,0.3578
3087.624,173.3584,3.0698,2.5467,0.3336
3087.7764,168.2146,3.0848,2.5684,0.3531
3087.9288,171.1813,3.1026,2.5665,0.3415
3088.0812,170.069,3.1394,2.5684,0.3589
3088.2336,180.5529,3.2609,2.5561,0.3343
3088.386,181.5571,3.3991,2.5521,0.3364
3088.5384,185.1941,3.5058,2.5492,0.3397
3088.6908,187.2082,3.5061,2.5392,0.356
3088.8432,193.4127,3.3456,2.5252,0.3689
3088.9956,196.2363,3.1943,2.5157,0.3927
3089.148,189.6183,3.0292,2.5104,0.3864
3089.3004,179.3676,2.9758,2.536,0.3465
3089.4528,165.5278,3.0602,2.5678,0.3239
3089.6052,162.2891,3.2833,2.5889,0.3308
3089.7576,165.8507,3.5563,2.5822,0.3431
3089.91,168.144,3.7993,2.5689,0.342
3090.0624,173.529,3.9288,2.5487,0.3337
3090.2148,175.8111,3.6584,2.5204,0.3406
3090.3672,177.1301,3.0914,2.5037,0.3102
3090.5196,175.2291,2.7296,2.5079,0.3176
3090.672,171.7634,2.5824,2.5294,0.351
3090.8244,171.837,2.4407,2.5517,0.3831
3090.9768,172.5585,2.4307,2.5417,0.3701
3091.1292,176.0341,2.6564,2.5451,0.3565
3091.2816,173.1029,2.9287,2.5355,0.3402
3091.434,178.4924,3.1508,2.5352,0.3397
3091.5864,175.9406,3.32,2.5319,0.3402
3091.7388,179.9116,3.5178,2.5204,0.336
3091.8912,172.9793,3.4846,2.4986,0.3386
3092.0436,171.2907,3.2726,2.4889,0.3449
3092.196,172.7453,3.1441,2.4983,0.3718
3092.3484,167.1441,3.0204,2.5161,0.3602
3092.5008,168.443,2.9225,2.5188,0.3647
3092.6532,166.1348,3.0704,2.5142,0.3552
3092.8056,165.2656,3.2483,2.5218,0.3753
3092.958,168.7727,3.6188,2.5212,0.3404
3093.1104,168.5865,4.1441,2.5372,0.3497
3093.2628,173.3524,4.548,2.5344,0.3205
3093.4152,177.5832,4.5744,2.5227,0.3341
3093.5676,191.7977,4.25,2.5146,0.3193
3093.72,208.2172,3.9529,2.5071,0.3495
3093.8724,205.353,3.8104,2.5127,0.3183
3094.0248,180.9333,3.6577,2.5191,0.2749
3094.1772,157.5328,3.7925,2.5245,0.2377
3094.3296,144.1485,4.1632,2.5352,0.2362
3094.482,150.0714,4.2807,2.5359,0.2456
3094.6344,157.2013,4.3216,2.5363,0.264
3094.7868,161.632,4.3844,2.5428,0.2816
3094.9392,165.3038,4.3212,2.5484,0.2938
3095.0916,165.5446,4.1898,2.5625,0.2893
3095.244,173.5287,3.851,2.5632,0.297
3095.3964,176.7858,3.3262,2.5491,0.3153
3095.5488,176.9157,3.0408,2.5145,0.3475
3095.7012,168.7251,2.7673,2.4696,0.388
3095.8536,159.8498,2.6117,2.4245,0.3919
3096.006,156.0919,2.5051,2.4017,0.3793
3096.1584,155.415,2.4775,2.433,0.3558
3096.3108,157.8805,2.4681,2.5147,0.3904
3096.4632,153.3486,2.4808,2.5678,0.4094
3096.6156,148.4401,2.5639,2.5494,0.3957
3096.768,144.369,2.7368,2.5379,0.3496
3096.9204,148.5397,2.9832,2.5316,0.3121
3097.0728,160.371,3.1334,2.5056,0.2917
3097.2252,169.3158,2.9535,2.4616,0.2918
3097.3776,178.241,2.5967,2.4469,0.3121
3097.53,175.0522,2.4407,2.478,0.3404
3097.6824,173.5524,2.4111,2.515,0.3793
3097.8348,167.4474,2.4795,2.5488,0.3936
3097.9872,162.21,2.6413,2.5452,0.34
3098.1396,159.464,3.0931,2.5259,0.3276
3098.292,156.996,3.7504,2.5163,0.3062
3098.4444,165.9306,3.9993,2.5234,0.3283
3098.5968,169.9053,4.08,2.5335,0.3113
3098.7492,180.6906,3.9162,2.5374,0.3025
3098.9016,177.9628,3.3255,2.5396,0.3123
3099.054,173.8026,2.9374,2.5434,0.3321
3099.2064,163.3332,2.7971,2.5422,0.3619
3099.3588,153.6388,2.735,2.5511,0.3283
3099.5112,155.1975,2.9575,2.5513,0.3325
3099.6636,156.8348,3.2492,2.5574,0.3433
3099.816,163.2819,3.4158,2.5528,0.3436
3099.9684,166.9189,3.4085,2.5388,0.3391
