DEPTH,GR,LLD,RHOB,PhiNSS
M,API,ohm.m,g/cm3,porosity units
2968.752,50.791,160.1588,2.2209,0.1081
2968.9044,53.0479,170.8892,2.2221,0.0995
2969.0568,54.9797,160.6354,2.2189,0.0967
2969.2092,56.4257,141.7889,2.2214,0.095
2969.3616,57.9247,123.5759,2.2342,0.1004
2969.514,59.4834,110.0837,2.2544,0.1074
2969.6664,64.2813,97.763,2.2568,0.1234
2969.8188,65.1804,89.2439,2.2469,0.1325
2969.9712,61.5999,88.1839,2.234,0.1441
2970.1236,55.8927,90.8058,2.2182,0.1297
2970.276,53.0379,94.278,2.2062,0.1185
2970.4284,55.2141,100.7007,2.1954,0.1117
2970.5808,57.2923,99.9675,2.1871,0.1107
2970.7332,58.4614,93.0029,2.1738,0.1101
2970.8856,59.8863,88.223,2.1735,0.1163
2971.038,58.1571,87.4065,2.1915,0.1363
2971.1904,57.5258,83.6556,2.2021,0.1496
2971.3428,54.483,69.0837,2.2109,0.1471
2971.4952,55.926,54.0866,2.2033,0.1395
2971.6476,54.8869,45.8448,2.2186,0.1397
2971.8,57.3572,39.3721,2.2413,0.1444
2971.9524,58.2928,36.5418,2.2644,0.1449
2972.1048,62.384,39.1711,2.2571,0.1467
2972.2572,60.9508,42.2246,2.2525,0.144
2972.4096,60.7641,41.432,2.2432,0.1515
2972.562,57.4153,40.5454,2.2508,0.1569
2972.7144,58.014,41.3641,2.2551,0.161
2972.8668,55.9562,45.7105,2.2524,0.1581
2973.0192,54.2542,57.8159,2.2432,0.1621
2973.1716,49.7665,73.2146,2.2474,0.1548
2973.324,52.0487,86.9895,2.256,0.1597
2973.4764,53.1203,92.7971,2.2634,0.1481
2973.6288,57.9373,91.0895,2.2694,0.1321
2973.7812,56.0255,85.1503,2.2762,0.1142
2973.9336,55.0132,76.8833,2.265,0.1117
2974.086,53.2898,68.1885,2.2592,0.122
2974.2384,53.6024,61.8191,2.2604,0.1363
2974.3908,56.3016,60.1561,2.2656,0.1408
2974.5432,59.0823,58.3557,2.2687,0.13
2974.6956,56.2867,56.7611,2.2631,0.1182
2974.848,53.9681,55.5902,2.2634,0.1122
2975.0004,51.4643,52.7715,2.2619,0.1159
2975.1528,54.6065,49.29,2.272,0.1166
2975.3052,59.8872,46.3073,2.2664,0.1264
2975.4576,60.743,43.8482,2.2564,0.1278
2975.61,59.9727,41.9272,2.2476,0.1325
2975.7624,55.8427,40.3314,2.2533,0.1271
2975.9148,54.4705,37.8827,2.2618,0.1287
2976.0672,55.2868,33.3263,2.2656,0.1293
2976.2196,57.2994,28.068,2.2443,0.1394
2976.372,57.2021,23.192,2.2348,0.1443
2976.5244,54.1659,17.156,2.2381,0.1503
2976.6768,53.2823,11.6749,2.2446,0.1563
2976.8292,55.0991,8.5622,2.2493,0.1596
2976.9816,62.2685,6.2977,2.312,0.1628
2977.134,90.1607,5.0334,2.3921,0.1786
2977.2864,128.8848,4.4857,2.4797,0.2308
2977.4388,179.9233,4.2649,2.499,0.34
2977.5912,214.0479,4.3103,2.5208,0.4159
2977.7436,233.3634,4.6775,2.5177,0.4302
2977.896,239.9392,5.0032,2.5223,0.4094
2978.0484,228.5087,4.7029,2.5253,0.4038
2978.2008,224.1072,4.314,2.4595,0.3862
2978.3532,210.223,3.3516,2.349,0.4101
2978.5056,207.1651,2.6432,2.2756,0.4492
2978.658,202.4345,2.3463,2.2751,0.5156
2978.8104,198.2195,2.1011,2.3074,0.5437
2978.9628,192.6314,1.9822,2.3242,0.5784
2979.1152,192.5651,2.0198,2.3502,0.5781
2979.2676,198.0777,2.0232,2.3429,0.5595
2979.42,209.9964,2.0912,2.3331,0.5588
2979.5724,220.9586,2.1646,2.3229,0.5517
2979.7248,241.3386,2.2353,2.3395,0.5622
2979.8772,261.3535,2.2952,2.3568,0.5418
